Taluka_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer
Amravati,Black,75,50,100,6.5,1000,20,Orange,Urea
Amravati,Black,80,50,100,6.5,1000,20,Orange,Urea
Amravati,Black,85,50,100,6.5,1000,20,Orange,Urea
Amravati,Black,90,50,100,6.5,1000,20,Orange,Urea
Amravati,Black,95,50,100,6.5,1000,20,Orange,Urea
Amravati,Black,100,50,100,6.5,1000,20,Orange,Urea
Amravati,Black,75,55,105,7,1100,25,Orange,Urea
Amravati,Black,80,55,105,7,1100,25,Orange,Urea
Amravati,Black,85,55,105,7,1100,25,Orange,Urea
Amravati,Black,90,55,105,7,1100,25,Orange,Urea
Amravati,Black,95,55,105,7,1100,25,Orange,Urea
Amravati,Black,100,55,105,7,1100,25,Orange,Urea
Amravati,Black,75,60,110,7.5,1200,30,Orange,Urea
Amravati,Black,80,60,110,7.5,1200,30,Orange,Urea
Amravati,Black,85,60,110,7.5,1200,30,Orange,Urea
Amravati,Black,90,60,110,7.5,1200,30,Orange,Urea
Amravati,Black,95,60,110,7.5,1200,30,Orange,Urea
Amravati,Black,100,60,110,7.5,1200,30,Orange,Urea
Amravati,Black,75,50,115,6.5,1300,35,Orange,Urea
Amravati,Black,80,50,115,6.5,1300,35,Orange,Urea
Amravati,Black,85,50,115,6.5,1300,35,Orange,Urea
Amravati,Black,90,50,115,6.5,1300,35,Orange,Urea
Amravati,Black,95,50,115,6.5,1300,35,Orange,Urea
Amravati,Black,100,50,115,6.5,1300,35,Orange,Urea
Amravati,Black,75,55,100,7,1400,20,Orange,DAP
Amravati,Black,80,55,100,7,1400,20,Orange,DAP
Amravati,Black,85,55,100,7,1400,20,Orange,DAP
Amravati,Black,90,55,100,7,1400,20,Orange,DAP
Amravati,Black,95,55,100,7,1400,20,Orange,DAP
Amravati,Black,100,55,100,7,1400,20,Orange,DAP
Amravati,Black,75,60,105,7.5,1500,25,Orange,DAP
Amravati,Black,80,60,105,7.5,1500,25,Orange,DAP
Amravati,Black,85,60,105,7.5,1500,25,Orange,DAP
Amravati,Black,90,60,105,7.5,1500,25,Orange,DAP
Amravati,Black,95,60,105,7.5,1500,25,Orange,DAP
Amravati,Black,100,60,105,7.5,1500,25,Orange,DAP
Amravati,Black,75,50,110,6.5,1000,30,Orange,DAP
Amravati,Black,80,50,110,6.5,1000,30,Orange,DAP
Amravati,Black,85,50,110,6.5,1000,30,Orange,DAP
Amravati,Black,90,50,110,6.5,1000,30,Orange,DAP
Amravati,Black,95,50,110,6.5,1000,30,Orange,DAP
Amravati,Black,100,50,110,6.5,1000,30,Orange,DAP
Amravati,Black,75,55,115,7,1100,35,Orange,DAP
Amravati,Black,80,55,115,7,1100,35,Orange,DAP
Amravati,Black,85,55,115,7,1100,35,Orange,DAP
Amravati,Black,90,55,115,7,1100,35,Orange,DAP
Amravati,Black,95,55,115,7,1100,35,Orange,DAP
Amravati,Black,100,55,115,7,1100,35,Orange,DAP
Amravati,Black,75,60,100,7.5,1200,20,Orange,MOP
Amravati,Black,80,60,100,7.5,1200,20,Orange,MOP
Amravati,Black,85,60,100,7.5,1200,20,Orange,MOP
Amravati,Black,90,60,100,7.5,1200,20,Orange,MOP
Amravati,Black,95,60,100,7.5,1200,20,Orange,MOP
